lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DN1,40DN2,40DN3,40DN4,40DN5,5DN1,5DN2,5DN3,5DN4,5DN5,SolventBlank1
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",2.180866641316892,7.652043766456322,81.76017181901659,1.5364379160348577e-19,9.246562731046143e-18,748.6628 -> 369.1,CE,45962.2035904079,707492.686694922,37050.6624526923,53930.1237945394,38594.9427185173,35448.6627883917,41686.0428962762,36045.9224204978,32427.2223358101,36074.4825324817,25816.2016220041
PC (40:9),2.1543567830295904,7.591273372935281,79.93655369572126,3.866273276591171e-19,2.2256286166116134e-17,828.6 -> 184.1,PCandSM,623340.677104906,57473.364593464,59123.223785412,54658.663772574,46603.463455206,36077.302635194,42942.7226257172,36302.322898879,28023.202163689,36829.422485362,16506.061264038
PCo(40:2),2.1506186029099794,7.613197750043129,79.68100744861907,4.400100428422152e-19,2.4273887363462205e-17,828.7 -> 184.1,PCandSM,638017.545227133,57189.764007555,56135.643478404,56046.023788458,47227.643173187,36068.482688907,45522.923553466,36898.7627906646,29342.08200074,35898.622512806,16215.141250609
22:0 Sitosteryl ester,2.110675279323827,7.730481361142218,76.96783774671826,1.7376478642542976e-18,9.202583089090761e-17,754.7097 -> 369.1,CE,46687.4232444772,719392.955802988,41919.0630073687,54775.5636291574,40496.9826126331,40229.4827613888,44895.5834884722,44989.0031852796,33335.3623428409,31956.1218719461,37595.1024322411
PCo(40:3),2.0947919129699213,7.720615602414218,75.8991568781862,2.9852749768183563e-18,1.5201938728105783e-16,826.6 -> 184.1,PCandSM,660746.184234743,63941.584533682,66458.684387199,60722.943801885,57293.584259035,41838.4433899,46567.263748215,46168.7231826714,31758.742141733,36721.182434088,20129.541450494
PCp(40:6),2.0900822868837308,7.796200495919404,75.58414769338765,3.501615222761835e-18,1.673701617017104e-16,818.6 -> 184.1,PCandSM,714432.647689211,64880.044189449,67814.805664067,63074.72454833,58726.144180339,44586.003417973,47257.503204355,53928.823883051,34104.261993397,37240.442611691,15249.1410408076
SM (d18:0/24:0),2.089773506258474,7.735000197151033,75.5628715893331,3.539550247468196e-18,1.673701617017104e-16,817.7 -> 184.1,PCandSM,683292.492821256,60834.504699708,67553.844543451,61459.684753399,55309.584381115,38332.822853087,44684.943328838,55008.9437790083,31211.941909788,38504.042892454,14730.84109497
PC (38:1),2.071598414260495,7.782283594778983,74.34914842886518,6.545349319847431e-18,2.988290517061379e-16,816.6 -> 184.1,PCandSM,696211.715614482,63278.124298103,71712.524017391,61031.903930641,56072.904129031,46371.242935179,48151.403320327,51654.223846438,32865.402320855,36278.062606805,19756.061309819
PCo(40:6),2.06730035237286,7.795440686378568,74.06331070197737,7.56514022674412e-18,3.338748553403071e-16,820.6 -> 184.1,PCandSM,696174.217178148,66025.264465302,71221.5248413,64554.424171455,60430.863052369,44063.683349597,47814.743240379,52642.284210202,36759.5824661181,36985.602935795,18979.721450801
PC (40:10),2.0520863420895235,7.753319198904103,73.05401866958891,1.2614948158163217e-17,5.387803664970355e-16,826.5 -> 184.1,PCandSM,673541.548004261,64962.86468503,68428.044342036,59928.384399387,56014.484031688,45063.982986463,47578.043052651,49866.443389886,32968.0822982722,36868.002868639,21543.861633305
PC (38:0),2.047456894113136,7.790423474285593,72.74855089854147,1.4726631909916574e-17,6.093143952727983e-16,818.7 -> 184.1,PCandSM,701714.58776897,61512.504699702,72633.544586136,61684.763687146,57054.944152822,43321.403030402,44098.482818603,56537.1833877543,38045.5229186948,38201.3625946042,17780.101272577
PEo (42:6),2.005193366273087,8.51262529600585,69.98402346923467,5.978673628768596e-17,2.3987163286332187e-15,806.6059 -> 665.6059,PE,603122.637603899,190498.916900657,497603.822357227,148937.469146724,138785.430282565,79722.385345465,57322.52423093,82192.026962247,86164.345397992,66799.324707053,29262.321578975
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",1.9826361624769187,7.716718828422549,68.51765020021026,1.2574706484263187e-16,4.896738642695429e-15,752.6941 -> 369.1,CE,47208.5630569588,696076.617947183,41837.3028717169,54514.8238448997,38395.8624572687,42532.7629089627,45186.2031478897,47550.7431640598,36103.2224006701,36026.6424026462,37874.0628280683
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",1.981247774454483,7.709567844938702,68.4281557173831,1.315853098253408e-16,4.977684291678606e-15,750.6784 -> 369.1,CE,44526.6029777485,701200.359821221,40319.0425376974,52207.3631477435,39594.7826461885,40095.9227714591,45154.8832092486,50477.1835594168,37112.4824218784,34722.5426025373,35547.7627029354
PCo(40:5),1.9646927830831074,7.83346267510792,67.3660125379536,2.2550307103209577e-16,8.293501834624856e-15,822.6 -> 184.1,PCandSM,703671.79684448,64196.624206564,73131.385314909,64854.385192873,63403.524345402,47762.143447864,48909.803962702,58214.5442581251,39747.642860398,42136.422683717,19965.221557616
Lyso_PG(22:2),-1.960769004794183,5.338861320722203,67.05883203159341,2.635243445032266e-16,9.429898165466811e-15,582.3427 -> 393.3427,PG,19470.7613601568,14415.1610259948,1984.0201110843,1931.140140534,1838.6601257324,30064.962341304,28930.941848744,29065.9223327622,29182.2219848575,28709.281967155,13363.2809982231
SM (d18:1/24:0),1.9462870728249981,7.8080205717813,66.19121755642823,4.092319180437115e-16,1.4258501565523e-14,815.7 -> 184.1,PCandSM,689812.775825929,62600.3441162,67840.605270381,65900.884094247,65396.784683233,46717.4437026916,50715.084182726,61974.784606901,35665.562530512,40341.043060283,18682.9611969
PCo(40:4),1.9218070823400002,7.817164555683232,64.64181000279314,8.982889758848436e-16,3.0495759078757256e-14,824.6 -> 184.1,PCandSM,679059.260925353,65582.144775395,74143.405273416,65935.224395747,63367.385284401,43513.6233787752,46460.50354003,70898.285865793,34455.162673945,42665.763252249,22154.041595457
22:2 Campesteryl ester,1.8021044217621451,7.486809288509057,57.279640655026014,3.780484667342717e-14,1.2513404248904394e-12,736.6628 -> 369.1,CE,50924.1837043947,560468.762323036,40007.9428558349,53503.5439147915,41482.0229454017,38115.8228149463,53984.8838958782,32252.1620140156,36891.4026565576,39125.662754056,22878.821632385
PC (38:2),1.788294219951112,8.010492642593835,56.457670093872366,5.742129992862129e-14,1.8542878318413315e-12,814.6 -> 184.1,PCandSM,716386.130417442,80346.865356438,93989.446594334,86007.926254241,77644.204895038,65918.084945685,64471.084594734,65450.004211402,42784.303375242,52292.362915037,30069.622329711
TAG(60:7)_FA 20:0,1.5833209649270046,8.320996948799118,44.806181453462386,2.1753486765889956e-11,6.857527732866263e-10,978.9 -> 649.9,TAG2,256333.241699335,173211.01220701,486059.69421382,168962.932250987,231278.433532715,86751.2864494405,73844.2454071221,77935.1857071113,97413.9466553,78825.246520996,16037.3010292076
PE (34:2),-1.5718183855722492,10.361681440337101,44.18999136432171,2.980010552633524e-11,9.175660399271596e-10,716.5226 -> 575.5226,PE,418517.649047992,276578.358154184,422925.707031096,350902.582031218,285779.93972769,1041428.23095703,1037794.63842783,716570.99035636,1065979.0794061,1071398.98498604,163698.83081059
PG (32:5),-1.4981817538147264,7.4765968820123785,40.304856787342935,2.1726818279847415e-10,6.537797136935903e-9,730.4389 -> 541.4389,PG,38824.943130491,74120.184982239,50038.203338647,46772.423614489,33211.14187623,43380.783691426,45215.663589514,171213.910613993,335739.326171832,56945.204467773,29379.841583254
TAG(60:11)_FA 20:4,1.4714599183272588,8.264513291639005,38.93946008780517,4.371541591728737e-10,1.2862046816552994e-8,970.9 -> 649.9,TAG2,209309.232666,161613.971984818,351480.861632797,185794.032958975,321598.72338871,84081.8461799743,73842.5242423859,81654.886108395,99582.28698732,80180.645507815,20366.3012886041
PE (34:1),-1.4390137978919506,10.60950466226183,37.30886127569647,1.0082543590690486e-9,2.902019068277001e-8,718.5383 -> 577.5383,PE,493979.5958253,434842.92968758,516569.755859171,422172.589782717,358166.225830048,1253174.88891634,1186453.13732858,906592.99060056,1173305.82849109,1183056.32763717,204218.67285154
PIp (30:1),-1.394313592966234,9.83805750733717,35.10760012441461,3.1198079355062087e-9,8.788565333213235e-8,782.4914 -> 505.4914,PI,130917.769714325,306279.905395608,228134.874206572,109957.086914028,138877.370666522,479671.58190918,353551.68249517,956519.231384311,272748.81738287,195346.45190425,748550.81628408
PG (22:4),-1.390412378484965,7.012059353190422,34.911019528653014,3.4512206168096403e-9,9.519616868033258e-8,578.3188 -> 389.3188,PG,31641.541961675,50788.703102069,39589.9821053083,22969.301662443,36865.5630263804,48932.783035281704,178149.372619679,79694.2065734401,98297.226684422,49733.4846343839,27106.7415657025
Lyso_PE(18:4),-1.3338890669854302,6.0586821342310255,32.214486259553716,1.3805757419928917e-8,3.730372004895079e-7,474.2542 -> 332.2542,PE,20678.6414031906,19081.1613693224,23194.8614807231,18779.701446531,16977.161178586,138663.049133274,26879.3619613664,25854.02192687,22147.961532587,22696.221649164,10713.6408805854
SM (d18:1/24:1)15Z)),1.3205133508722162,8.45333044323806,31.605115819514594,1.889312126769503e-8,5.002898511685644e-7,813.7 -> 184.1,PCandSM,760564.85525561,119326.769165011,146626.487426759,131670.048644994,124276.90979009,133017.129333465,105558.527587893,94735.4865798633,72062.124847393,83879.58618165,63604.504699725
Lyso_PG(22:4),-1.2598145566665246,7.016417621563161,28.845859211890453,7.837327450721458e-8,2.034631675442198e-6,578.3114 -> 389.3114,PG,32396.9228973346,51981.283966022,43589.8828201398,24286.6415901162,41187.4823379752,68675.3049088265,173228.528511089,76090.9856720089,91463.444763168,33523.5422744594,28766.3024139368
PGp (38:6),1.2230413834984497,9.747829785717908,27.239080664308858,1.7978761885165374e-7,4.5776693722997985e-6,796.5223 -> 607.5223,PG,1062511.59857202,487176.832275342,924227.804931673,411702.526428333,341623.159851035,341821.865661662,222492.994079561,250696.497924767,256198.818420441,236519.496704107,84023.126892065
PG (36:0),1.213304154679362,9.639692101028526,26.818955409060663,2.234349354628423e-7,5.581657633071758e-6,796.5798 -> 607.5798,PG,999154.906433047,447439.397521947,839523.641234748,386898.78027346,310503.381042358,317541.5217284,209507.235900801,231188.299255369,250636.898193325,209591.416931175,80406.226135188
Cer(t18:0/20:0(2OH)),1.200483491361507,11.911525647397902,26.2713003822646,2.9666464672200387e-7,7.141527131998784e-6,628.6 -> 282.4,CER,2222591.70602426,2423144.11047351,2830197.39660518,3161070.39331126,2955698.90002411,1272642.96722464,1507595.15686026,1829039.91040043,541763.500122094,459353.693420578,854046.993164065
PGo (40:0),1.200928475390542,7.50984411111722,26.28565073400614,2.9446843062246893e-7,7.141527131998784e-6,838.6631 -> 649.6631,PG,232130.117859361,116505.750579781,151875.747009283,79444.20678704,79578.606628455,59913.364257788,48173.88400268,53973.843765238,54733.724029525,54393.383514453,30182.402404798
PEo (36:2),-1.1602902322269661,12.076552220841588,24.585572079420672,7.108195309782094e-7,1.680580462527052e-5,730.5746 -> 589.5746,PE,1617002.38427756,1103039.91601551,1557117.11132819,1305086.48901361,1275051.18115224,4277919.4472652,3174866.9902339,2222129.57470793,2405573.02539015,2451969.63012752,822351.2499999
PG (32:3),-1.1411330305626965,9.58149509303046,23.7995003168121,1.069102117175828e-6,2.4833179002470108e-5,734.4702 -> 545.4702,PG,254064.080581709,342550.768646256,142301.95231643,263004.420410619,323204.430786037,411054.690277686,621002.451934813,745809.203155547,393274.500518784,580402.700241089,18548.921371467
PE (36:2),-1.1207526047737073,12.181893330760431,22.977799825341208,1.6388302556617284e-6,3.741053893958842e-5,744.5539 -> 603.5539,PE,1755737.83032251,1273972.02880861,1706461.09594679,1411494.19433595,1346103.61755344,4506506.6464844,3358144.43847648,2552764.21435607,2512178.20068371,2518250.92211917,917451.571289
PE (32:1),-1.0738558959626001,8.913403495531352,21.13508808391839,4.280188316070697e-6,9.605032763521361e-5,690.507 -> 549.507,PE,170496.391784681,158764.331909127,191086.893279965,142984.870605456,124766.96798699,400914.12622066,336222.56481947,252402.255981581,284401.661865428,294764.223266559,105243.44702147
PEo (34:1),-1.0664313109684416,8.12391012134391,20.849121997624025,4.9691999432723915e-6,1.0965367874821077e-4,704.559 -> 563.559,PE,98473.246856692,91359.926849374,96428.347045901,92549.746368405,78695.065536512,219261.9558105,204170.23345933,159518.111312826,162550.351928758,161412.772003235,60637.484374992
PE (22:0),-1.0483762930821445,5.5813348754416365,20.15194452750518,7.152749498853746e-6,1.55249841581678e-4,538.3868 -> 397.3868,PE,25643.441802976,28328.4822311386,17249.6011581365,4095.1803169233,1681.4201240541,28924.24212646,29645.722244257,30633.141983034,32185.642433175,28655.802032466,13443.8009567246
PI (22:6),1.0365713503617253,8.00727415687457,19.721520804836473,8.958679525494094e-6,1.9131115631861582e-4,662.3036 -> 385.3036,PI,230263.355438223,211121.236358686,155622.670394871,155563.392211916,213605.638092003,1856.8201293947,2160.6401672369,2236.120143891,221179.575714055,211907.490386953,1526.8401069643
PC (30:2),1.0321152834705813,7.8324022634251005,19.555290535251515,9.772971500868525e-6,2.0538752804999885e-4,702.5 -> 184.1,PCandSM,528521.11652372,63061.184173565,71467.945617693,61663.824119568,62484.263916012,81058.605316142,83209.226074279,72907.20513918,62732.324340804,67288.364898675,38896.002868662
TAG(60:12)_FA 20:0,1.0076069482782481,6.9819713208249805,18.65348313656932,1.5676062640906575e-5,3.2429854588375475e-4,968.9 -> 639.9,TAG2,89062.985839861,71164.505249042,112149.268493606,76577.024902327,104160.686492998,44266.623016365,42327.5228271567,36075.282501212,47666.043334953,42840.722900375,12170.0008392334
PC (30:1),0.9918282121270039,7.797648527076456,18.086629670256798,2.1107843158942764e-5,4.299505283452341e-4,704.5 -> 184.1,PCandSM,499135.710556143,65324.864410385,67114.864746095,63389.944213891,63289.864166237,75272.345153826,86342.485259978,66001.164024354,67096.044616703,69112.925048827,40017.782928473
SM (d16:1/18:1),0.987713934739844,7.801502179776272,17.939731580700936,2.2801119715808753e-5,4.5740428035955747e-4,701.6 -> 184.1,PCandSM,503240.516983178,65740.904693639,77260.284851052,60386.844451908,62589.444671633,77979.924987767,82281.325836232,70016.804626479,68467.285369881,71053.505279568,34213.422576906
PIo (40:7),0.979969842667098,7.689582548545579,17.664378402450893,2.635156383304762e-5,5.207383658948514e-4,926.6792 -> 649.6792,PI,154029.709716832,151703.191589305,147960.672302274,88009.945983881,144692.30957025,73460.285278298,76818.525878924,72190.025207515,57554.504089363,49622.323547368,50333.124023415
Lyso_PI(22:6),0.9704574895258086,8.006676798962184,17.330060017417054,3.141775032613723e-5,6.028565424899376e-4,662.2962 -> 385.2962,PI,221187.693786661,221478.719055167,150143.570159933,150983.991851826,207554.17581181,1935.7201347354,1973.1801261903,2669.2202148447,224260.476242007,221572.517730635,1602.2801017765
SM (d18:1/16:0),0.9709427574169693,7.805598828899387,17.34661201455185,3.1145300630654215e-5,6.028565424899376e-4,703.6 -> 184.1,PCandSM,501541.433624371,69689.265075701,65991.124786367,57912.904449463,66963.964263934,75220.806228639,83804.347045852,74075.805068983,68638.064270032,69056.685394308,38168.022644043
PCo(32:3),0.9517625463306375,7.905569136602982,16.68002979908124,4.4244312549150696e-5,8.368495687867931e-4,714.5 -> 184.1,PCandSM,518326.665572953,71309.204772935,76892.086120612,70514.744995112,72091.984863291,83563.705993659,94931.907302839,75021.085388179,72087.364837662,73511.865982055,43524.723083483
PC (30:0),0.9507475410072385,7.813577722038129,16.644957794595598,4.5069955715578933e-5,8.404594558792465e-4,706.5 -> 184.1,PCandSM,503420.623474092,66243.044982911,69783.664733883,63266.584136969,61657.36444093,82302.28451534,78360.865600603,75664.885375957,71219.485687251,69498.72430419,37331.702636687
PC (40:5),0.9289312470450051,8.469178247017249,15.903276502501058,6.666321166831313e-5,0.0012258623923450916,836.6 -> 184.1,PCandSM,690445.491211119,153745.332092211,133555.789459241,132256.749084382,123700.228851288,131736.808662491,104850.128494305,152082.351913495,110113.487609942,116107.507080089,37814.183105474
PCo(32:0),0.925969369010034,7.972440879156228,15.803056175627717,7.028888150743289e-5,0.0012723857067880376,720.6 -> 184.1,PCandSM,543285.460434016,73766.424987808,78227.826080318,75201.945892360993,73212.84477234,90430.766937244,95984.086608873,75298.145523068,75483.264801078,85917.705535906,44701.943023675
PEo (36:1),-0.9252638382539612,10.019249430712545,15.7809430799025,7.111521321927099e-5,0.0012723857067880376,732.5903 -> 591.5903,PE,428404.090087808,305480.941406052,430774.31005892,360889.926513632,329435.705871484,928421.63574221,736246.63696275,534755.9779053,563551.4487303,575255.999084358,178560.83056644
PE (36:8),-0.9059049949037278,10.10209102242034,15.137882106566394,9.993768443155101e-5,0.0017642332558316471,732.46 -> 591.46,PE,453818.451660399,331802.46093765,455539.672119147,382884.149353019,363833.667114249,968534.76513695,774284.39294439,579411.66247559,593238.126220981,613314.5032348,182100.91430665
PCo(32:2),0.8999221356831012,7.885538418177965,14.940095560765258,1.109791163503563e-4,0.001933373026945681,716.6 -> 184.1,PCandSM,510659.193786945,68099.64477539,76453.105255122,69056.404846177,66563.744476313,83831.94625852,101937.987243671,70215.105163566,66239.644683832,81789.346038819,41197.90298462
PCo(32:1),0.8960983107804553,7.879972085333513,14.815380193789679,1.1856458863671382e-4,0.002038695004610508,718.6 -> 184.1,PCandSM,518525.2574311,68681.484680142,72154.62548827,65747.464416491,68299.684356707,85844.486480714,94753.746398942,70969.186096181,77362.125320416,77888.345214849,36917.082397475
SM (d18:0/16:0),0.8896108274852521,7.787528663915454,14.604773307642972,1.3257830368831582e-4,0.002250431719017053,705.6 -> 184.1,PCandSM,488201.912674141,65466.784576415,64944.824279783,63679.263824464,58264.16439819,80137.325958262,90284.186767579,69582.024871843,68387.924514806,72919.544311524,36163.122695918
PE (40:1),0.8873793695070977,6.8977887924214425,14.530919846479945,1.3787791428581162e-4,0.0023107640318280327,802.6322 -> 661.6322,PE,102774.648895307,79760.965026919,96976.667877182,66811.064697302,56724.804031378,45813.103698718,42809.203247069,42504.002960206,37505.982620246,37300.522720329,19451.701370247
PG (40:7),0.8682873814265026,7.346592300570262,13.922379109867052,1.9051656655062925e-4,0.003153049176412914,838.5328 -> 649.5328,PG,160977.769989017,107377.846191418,124897.26800536,76091.665557867,70680.144409199,63681.845123321,49452.483306887,55487.264648452,55363.343627992,55375.06341549,31138.742202761
PI (40:7),0.8593525915358445,7.587599107701628,13.641759502208968,2.2121003977371116e-4,0.0036158283044493036,926.5489 -> 649.5489,PI,123170.46972649,141438.309387339,127539.028076127,86073.86572267,138371.250183171,74689.525451655,79966.72552489,72696.105224591,50783.203521749,43989.36309814,50010.20355222
PI (42:1),0.843450377495877,6.059148036653648,13.144408523599395,2.8837853564317526e-4,0.004656258307214195,966.6741 -> 689.6741,PI,29417.401687612,33470.062454223,82799.884841942,26262.821945197,49323.823623657,25890.021865846,26845.061943047,25792.6215667601,21711.601463313,16466.4010848919,12192.5209198025
PE (16:1),-0.838947823298816,7.414128197162422,13.0102329615479,3.097933990039769e-4,0.0049417645817019925,452.2773 -> 311.2773,PE,55668.743865955,83093.425521832,58118.764404333,75338.726287788,47223.823654218,84389.086151195,65532.004638692,273221.958237211,54168.104034485,58209.083541895,27241.681838981
Lyso_PI(21:0),0.8293269006737966,6.9364451957180355,12.716720074380646,3.6240081038791885e-4,0.005712127058971483,660.3744 -> 383.3744,PI,79888.764953586,94190.307220502,96891.166320784,70168.904602074,94264.1058959769,2539.3402023311,9990.10086059269,41641.4234885851,89850.944610636,84612.965026843,2645.9401855464
PEo (40:0),0.8275253890168148,7.23048334531973,12.662617482632413,3.7303959470588234e-4,0.0058106402751833906,790.6685 -> 649.6685,PE,239825.07334905,64210.204010032,81006.046157827,54439.9639435,46010.122772201,62830.845062273,47447.263336171,58042.82393642,38925.822555541,51783.824157729,32368.08209229
"(5Z,8Z)-tetradecadienoylcarnitine",0.8258141822993379,10.853903907051983,12.613530252401688,3.829645396810739e-4,0.005895872680671417,368.3 -> 85.1,AC,1108237.72375517,1928093.77514649,1573656.69824294,746077.45117191,749026.50720213,616532.88500964,810398.84448248,647803.5874023,607743.04565432,567089.3028564,351950.02343741
PG (20:2),0.797009898753304,6.871098288890242,11.756649193757767,6.062626955105944e-4,0.009226342630529046,554.3188 -> 365.3188,PG,193357.195838981,38579.96292876,64892.805603007,46456.182891863,40276.923339822,44053.2227096693,45994.823181175,37611.96287538,42487.303611733,39856.76297001,19833.421386731
C30:0,0.7927474469385152,9.0708585404516775,11.63529424789158,6.471210504740209e-4,0.009570001563441502,451.4 -> 451.4,FFA,254359.898639615,544906.179706497,433724.854160339,339909.964446972,319473.402057534,57799.1241226179,238749.878372138,218160.096900841,268983.059150753,243732.89685442,15777.7611923215
Lyso_PG(20:2),0.7917867194777783,6.8751458580010745,11.604973290625821,6.577569050401637e-4,0.009570001563441502,554.3114 -> 365.3114,PG,197372.598876927,44675.182464597,59586.363632220004,47885.603240949,38114.302810645,45931.3227386,45259.162933391,39755.983032282,40766.823188778,41098.22345736,17629.3612670889
